# angle[deg]   Cl   Cd   Cm
 -180.00000              0         0.0602              0
 -175.00000          0.218         0.0699         0.0934
 -170.00000          0.397         0.1107         0.1697
 -160.00000          0.642         0.3045         0.2813
 -155.00000          0.715         0.4179         0.3208
 -150.00000          0.757         0.5355         0.3516
 -145.00000          0.772         0.6535         0.3752
 -140.00000          0.762         0.7685         0.3926
 -135.00000          0.731         0.8777         0.4048
 -130.00000           0.68         0.9788         0.4126
 -125.00000          0.613           1.07         0.4166
 -120.00000          0.532         1.1499         0.4176
 -115.00000          0.439         1.2174         0.4158
 -110.00000          0.337         1.2716         0.4117
 -105.00000          0.228         1.3118         0.4057
 -100.00000          0.114         1.3378         0.3979
  -95.00000         -0.002         1.3492         0.3887
  -90.00000          -0.12          1.346         0.3781
  -85.00000         -0.236         1.3283         0.3663
  -80.00000         -0.349         1.2964         0.3534
  -75.00000         -0.456         1.2507         0.3394
  -70.00000         -0.557         1.1918         0.3244
  -65.00000         -0.647         1.1204         0.3084
  -60.00000         -0.727         1.0376         0.2914
  -55.00000         -0.792         0.9446         0.2733
  -50.00000         -0.842         0.8429         0.2543
  -45.00000         -0.874         0.7345         0.2342
  -40.00000         -0.886         0.6215         0.2129
  -35.00000         -0.875         0.5067         0.1906
  -30.00000         -0.839         0.3932          0.167
  -25.00000         -0.777         0.2849         0.1422
  -24.00000         -0.761         0.2642         0.1371
  -23.00000         -0.744          0.244          0.132
  -22.00000         -0.725         0.2242         0.1268
  -21.00000         -0.706         0.2049         0.1215
  -20.00000         -0.685         0.1861         0.1162
  -19.00000         -0.662         0.1687         0.1097
  -18.00000         -0.635         0.1533         0.1012
  -17.00000         -0.605         0.1398         0.0907
  -16.00000         -0.571         0.1281         0.0784
  -15.00000         -0.534         0.1183         0.0646
  -14.00000         -0.494         0.1101         0.0494
  -13.00000         -0.452         0.1036          0.033
  -12.00000         -0.407         0.0986         0.0156
  -11.00000          -0.36         0.0951        -0.0026
  -10.00000         -0.311         0.0931        -0.0213
   -8.00000         -0.208          0.093          -0.06
   -6.00000         -0.111         0.0689          -0.05
   -5.50000          -0.09         0.0614        -0.0516
   -5.00000         -0.072         0.0547        -0.0532
   -4.50000         -0.065          0.048        -0.0538
   -4.00000         -0.054         0.0411        -0.0544
   -3.50000         -0.017         0.0349        -0.0554
   -3.00000          0.003         0.0299        -0.0558
   -2.50000          0.014         0.0255        -0.0555
   -2.00000          0.009         0.0198        -0.0534
   -1.50000          0.004         0.0164        -0.0442
   -1.00000          0.036         0.0147        -0.0469
   -0.50000          0.073         0.0137        -0.0522
    0.00000          0.137         0.0113        -0.0573
    0.50000          0.213         0.0114        -0.0644
    1.00000          0.292         0.0118        -0.0718
    1.50000          0.369         0.0122        -0.0783
    2.00000          0.444         0.0124        -0.0835
    2.50000          0.514         0.0124        -0.0866
    3.00000           0.58         0.0123        -0.0887
    3.50000          0.645          0.012          -0.09
    4.00000           0.71         0.0119        -0.0914
    4.50000          0.776         0.0122        -0.0933
    5.00000          0.841         0.0125        -0.0947
    5.50000          0.904         0.0129        -0.0957
    6.00000          0.967         0.0135        -0.0967
    6.50000          1.027         0.0144        -0.0973
    7.00000          1.084         0.0158        -0.0972
    7.50000           1.14         0.0174        -0.0972
    8.00000          1.193         0.0198        -0.0968
    8.50000          1.242         0.0231        -0.0958
    9.00000          1.287         0.0275        -0.0948
    9.50000          1.333         0.0323        -0.0942
   10.00000          1.368         0.0393        -0.0926
   10.50000            1.4         0.0475        -0.0908
   11.00000          1.425          0.058         -0.089
   11.50000          1.449         0.0691        -0.0877
   12.00000          1.473         0.0816         -0.087
   12.50000          1.494         0.0973         -0.087
   13.00000          1.513         0.1129        -0.0876
   13.50000          1.538         0.1288        -0.0886
   14.50000          1.587          0.165        -0.0917
   15.00000          1.614         0.1845        -0.0939
   15.50000          1.631         0.2052        -0.0966
   16.00000          1.649          0.225        -0.0996
   16.50000          1.666         0.2467        -0.1031
   17.00000          1.681         0.2684        -0.1069
   17.50000          1.699           0.29         -0.111
   18.00000          1.719         0.3121        -0.1157
   19.00000          1.751         0.3554        -0.1242
   19.50000          1.767         0.3783        -0.1291
